user_id,recency,frequency,monetary,avg_order_value,category_diversity,is_prime,avg_delivery_days,age,gender,city,loyalty_tier,age_group
USR02116,197,6,515114.65,85852.44166666667,4,0,4.666666666666667,27,Male,Pune,Silver,25-34
USR02300,59,7,746387.9,106626.84285714287,5,1,4.857142857142857,22,Female,Mumbai,Silver,18-24
USR03639,147,9,509689.07000000007,56632.118888888894,5,1,5.555555555555555,60,Other,Lucknow,Gold,55+
USR01020,148,7,420878.19,60125.455714285716,5,0,6.142857142857143,40,Female,Jaipur,Platinum,35-44
USR00099,229,8,767373.95,95921.74375,6,1,5.625,57,Male,Ahmedabad,Platinum,55+
USR04784,2,8,922393.9,115299.2375,5,0,4.75,27,Male,Chennai,Platinum,25-34
USR03550,162,11,1282994.78,116635.8890909091,7,0,5.545454545454546,42,Female,Mumbai,Platinum,35-44
USR01873,18,9,924503.3800000001,102722.59777777779,6,1,5.111111111111111,25,Other,Pune,Silver,25-34
USR02363,135,7,586594.47,83799.20999999999,4,0,6.142857142857143,47,Male,Jaipur,Bronze,45-54
USR04868,168,6,643054.6,107175.76666666666,4,0,7.166666666666667,54,Male,Pune,Gold,45-54
USR04491,154,8,864979.23,108122.40375,4,1,6.875,28,Female,Bangalore,Platinum,25-34
USR03484,88,7,1127711.51,161101.64428571428,4,1,4.0,37,Other,Chennai,Platinum,35-44
USR02263,98,8,850951.8600000001,106368.98250000001,6,1,7.125,24,Other,Lucknow,Gold,18-24
USR01249,55,9,739068.9600000001,82118.77333333335,5,0,4.222222222222222,42,Male,Hyderabad,Silver,35-44
USR03346,365,4,652555.36,163138.84,4,0,5.75,51,Other,Delhi,Platinum,45-54
USR03593,142,7,579031.6499999999,82718.80714285713,5,1,5.0,55,Male,Hyderabad,Platinum,55+
USR03870,60,8,781360.3999999999,97670.04999999999,5,0,6.0,46,Female,Pune,Platinum,45-54
USR01886,322,3,237364.15999999997,79121.38666666666,3,1,3.0,59,Female,Mumbai,Platinum,55+
USR04117,32,8,859422.5,107427.8125,5,0,6.5,43,Female,Lucknow,Silver,35-44
USR01983,61,5,372579.53,74515.906,4,0,5.4,59,Male,Lucknow,Silver,55+
USR03388,57,6,839851.84,139975.30666666667,4,1,3.6666666666666665,23,Male,Lucknow,Bronze,18-24
USR03982,61,12,663330.85,55277.57083333333,7,0,3.5833333333333335,47,Other,Hyderabad,Silver,45-54
USR00781,33,6,710936.25,118489.375,4,0,6.333333333333333,64,Other,Chennai,Platinum,55+
USR01022,116,5,473137.46,94627.492,3,0,4.4,58,Male,Bangalore,Gold,55+
USR02951,357,3,476399.14,158799.71333333335,3,1,5.0,39,Male,Lucknow,Platinum,35-44
USR04895,2,11,1187476.54,107952.41272727273,7,1,4.818181818181818,26,Female,Kolkata,Bronze,25-34
USR03191,243,3,139226.06,46408.68666666667,2,1,4.0,65,Other,Hyderabad,Platinum,55+
USR01345,44,11,1027379.52,93398.13818181818,7,0,6.090909090909091,28,Other,Hyderabad,Silver,25-34
USR02377,144,11,1130391.68,102762.87999999999,5,1,4.2727272727272725,37,Female,Ahmedabad,Silver,35-44
USR01427,559,3,88482.4,29494.13333333333,2,0,6.0,43,Male,Pune,Gold,35-44
USR02252,77,5,324865.14,64973.028000000006,5,1,8.0,42,Female,Ahmedabad,Silver,35-44
USR03342,74,11,691063.3699999999,62823.94272727272,7,1,5.545454545454546,65,Other,Jaipur,Gold,55+
USR01930,13,6,375907.75,62651.291666666664,4,0,5.166666666666667,58,Other,Hyderabad,Silver,55+
USR03872,153,11,842975.86,76634.16909090908,6,1,5.0,26,Other,Ahmedabad,Bronze,25-34
USR00657,58,4,227460.46999999997,56865.11749999999,3,1,7.5,55,Female,Chennai,Silver,55+
USR02155,40,7,774549.95,110649.99285714285,5,0,7.571428571428571,29,Female,Bangalore,Gold,25-34
USR01818,149,5,477719.67999999993,95543.93599999999,4,1,5.0,31,Female,Pune,Platinum,25-34
USR04307,42,5,282292.62,56458.524,5,0,7.0,44,Other,Ahmedabad,Platinum,35-44
USR02694,98,16,1553289.4,97080.5875,8,0,5.0625,39,Other,Kolkata,Platinum,35-44
USR04870,357,7,503655.24,71950.74857142857,5,1,6.571428571428571,62,Other,Chennai,Silver,55+
USR02632,93,6,381303.95,63550.65833333333,5,1,7.333333333333333,37,Male,Pune,Gold,35-44
USR01674,7,10,1064188.18,106418.818,7,0,4.6,58,Other,Jaipur,Gold,55+
USR01984,529,2,110166.35,55083.175,2,1,4.0,62,Female,Kolkata,Silver,55+
USR04072,88,8,623429.5800000001,77928.69750000001,5,1,5.0,25,Other,Hyderabad,Bronze,25-34
USR01126,104,11,1005141.9499999998,91376.5409090909,4,1,6.090909090909091,37,Male,Hyderabad,Platinum,35-44
USR03950,108,8,267399.78,33424.9725,6,0,6.25,61,Other,Mumbai,Silver,55+
USR02753,45,7,740611.75,105801.67857142857,5,0,4.142857142857143,27,Other,Mumbai,Gold,25-34
USR02677,162,6,367328.68,61221.44666666666,4,1,5.666666666666667,18,Female,Pune,Platinum,18-24
USR00974,56,8,466545.93,58318.24125,7,1,4.125,29,Other,Ahmedabad,Platinum,25-34
USR00818,62,11,1454299.96,132209.08727272728,6,0,5.7272727272727275,18,Other,Delhi,Bronze,18-24
USR01425,45,4,239888.48999999996,59972.12249999999,3,0,3.0,50,Female,Chennai,Platinum,45-54
USR02404,153,11,1293175.92,117561.44727272727,4,1,5.181818181818182,30,Other,Bangalore,Platinum,25-34
USR03510,101,7,555276.9,79325.27142857143,5,1,3.2857142857142856,48,Other,Kolkata,Silver,45-54
USR02798,9,8,713911.3500000001,89238.91875000001,4,1,5.125,38,Other,Jaipur,Silver,35-44
USR02477,17,12,953861.3799999999,79488.44833333332,6,1,4.25,57,Male,Bangalore,Gold,55+
USR00615,332,5,413747.5,82749.5,4,0,5.0,18,Male,Hyderabad,Bronze,18-24
USR04446,67,10,672234.1699999999,67223.41699999999,6,1,5.0,52,Female,Chennai,Bronze,45-54
USR00793,245,3,66913.31999999999,22304.44,3,1,5.0,18,Female,Kolkata,Silver,18-24
USR02372,39,9,766982.75,85220.30555555556,5,0,5.666666666666667,32,Other,Bangalore,Gold,25-34
USR00925,8,13,939472.72,72267.1323076923,6,0,5.615384615384615,55,Other,Kolkata,Silver,55+
USR02294,348,7,614594.69,87799.24142857142,6,1,4.0,62,Male,Bangalore,Platinum,55+
USR03199,5,11,500014.06,45455.82363636364,6,1,6.090909090909091,50,Other,Mumbai,Bronze,45-54
USR04566,158,9,543780.8400000001,60420.093333333345,5,0,7.777777777777778,26,Female,Jaipur,Silver,25-34
USR02399,79,6,781685.03,130280.83833333333,5,1,7.166666666666667,57,Female,Delhi,Bronze,55+
USR01978,6,6,169494.96999999997,28249.161666666663,4,0,6.0,19,Other,Pune,Gold,18-24
USR04068,117,5,630175.94,126035.188,4,1,6.2,28,Other,Kolkata,Platinum,25-34
USR01006,56,5,310675.79000000004,62135.15800000001,4,0,5.8,29,Other,Kolkata,Silver,25-34
USR03057,71,6,466719.6,77786.59999999999,5,0,6.666666666666667,49,Other,Lucknow,Gold,45-54
USR04551,128,6,932186.3,155364.38333333333,6,0,4.166666666666667,35,Female,Ahmedabad,Bronze,35-44
USR01459,75,6,639362.92,106560.48666666668,5,1,5.166666666666667,46,Other,Jaipur,Gold,45-54
USR00408,16,10,814294.15,81429.41500000001,7,0,5.5,51,Female,Bangalore,Silver,45-54
USR04917,25,6,742117.55,123686.25833333335,4,1,3.8333333333333335,56,Male,Hyderabad,Gold,55+
USR00798,32,6,392775.6,65462.6,5,1,5.5,19,Other,Mumbai,Silver,18-24
USR03353,332,4,111323.66,27830.915,3,0,5.5,18,Male,Bangalore,Bronze,18-24
USR04836,86,11,601938.9,54721.718181818185,6,1,5.0,62,Male,Hyderabad,Silver,55+
USR03284,256,3,385600.88,128533.62666666666,3,0,7.333333333333333,33,Male,Chennai,Gold,25-34
USR01787,34,9,744036.58,82670.7311111111,6,0,4.666666666666667,55,Other,Bangalore,Silver,55+
USR04078,141,5,260545.65999999997,52109.132,4,0,3.6,34,Other,Delhi,Gold,25-34
USR03361,122,9,387248.16000000003,43027.573333333334,6,1,5.333333333333333,21,Other,Kolkata,Gold,18-24
USR02956,75,11,962762.97,87523.90636363636,6,0,4.454545454545454,19,Other,Ahmedabad,Bronze,18-24
USR04604,62,12,1400411.58,116700.96500000001,6,0,4.5,39,Other,Kolkata,Platinum,35-44
USR04644,99,7,721107.65,103015.37857142858,4,1,5.285714285714286,62,Other,Bangalore,Bronze,55+
USR04849,109,4,200402.04,50100.51,3,1,6.0,31,Female,Bangalore,Platinum,25-34
USR00442,68,5,315977.78,63195.556000000004,3,1,5.6,39,Male,Ahmedabad,Gold,35-44
USR01340,267,7,470690.53,67241.50428571428,4,1,5.857142857142857,25,Female,Lucknow,Silver,25-34
USR01276,166,12,1159727.1700000002,96643.93083333335,7,0,3.75,62,Male,Bangalore,Gold,55+
USR00166,177,7,806965.63,115280.80428571429,4,1,6.571428571428571,22,Other,Chennai,Gold,18-24
USR00620,90,11,1113183.98,101198.54363636364,6,0,4.2727272727272725,57,Other,Bangalore,Platinum,55+
USR01884,21,5,358639.76,71727.952,4,1,5.8,45,Male,Chennai,Silver,45-54
USR02164,109,5,364679.97,72935.99399999999,5,1,6.0,48,Female,Pune,Platinum,45-54
USR04485,37,7,690032.1000000001,98576.0142857143,6,0,5.571428571428571,25,Female,Ahmedabad,Silver,25-34
USR02441,424,6,236506.12999999998,39417.68833333333,4,0,5.833333333333333,40,Female,Lucknow,Platinum,35-44
USR04856,355,5,415341.7,83068.34,4,0,7.4,20,Female,Bangalore,Bronze,18-24
USR00217,254,11,1345729.4000000001,122339.03636363638,7,1,5.7272727272727275,19,Other,Pune,Gold,18-24
USR03821,33,10,972139.85,97213.985,6,1,6.8,26,Male,Mumbai,Bronze,25-34
USR02128,135,7,352344.14,50334.87714285714,5,0,4.714285714285714,40,Other,Kolkata,Silver,35-44
USR00977,125,10,946026.6599999999,94602.666,6,1,5.1,61,Male,Hyderabad,Silver,55+
USR04281,25,6,495463.74000000005,82577.29000000001,4,1,4.166666666666667,41,Female,Kolkata,Bronze,35-44
USR04926,136,5,711486.1699999999,142297.234,5,1,5.0,65,Other,Jaipur,Silver,55+
USR01463,79,6,717755.3500000001,119625.89166666668,4,0,5.166666666666667,62,Male,Delhi,Bronze,55+
USR03867,122,9,575753.98,63972.66444444444,6,0,5.444444444444445,46,Female,Pune,Gold,45-54
USR01654,89,13,1897990.3299999998,145999.25615384613,6,0,5.076923076923077,53,Male,Mumbai,Gold,45-54
USR02716,102,3,269762.89999999997,89920.96666666666,2,1,5.666666666666667,52,Male,Pune,Bronze,45-54
USR02997,90,5,153617.44999999998,30723.489999999998,4,0,6.8,44,Other,Mumbai,Platinum,35-44
USR00680,742,4,664489.22,166122.305,3,1,2.75,19,Male,Chennai,Platinum,18-24
USR04990,82,10,1046181.25,104618.125,5,0,5.3,54,Male,Mumbai,Gold,45-54
USR04979,297,7,628414.85,89773.55,5,0,4.857142857142857,23,Female,Kolkata,Silver,18-24
USR00881,46,7,864270.9,123467.27142857143,4,1,6.428571428571429,51,Male,Bangalore,Bronze,45-54
USR00692,323,7,573554.3300000001,81936.33285714287,5,0,4.857142857142857,19,Female,Mumbai,Platinum,18-24
USR04224,8,10,1117244.02,111724.402,6,1,3.3,60,Female,Jaipur,Silver,55+
USR02137,123,6,559937.3200000001,93322.88666666667,4,0,6.166666666666667,38,Male,Pune,Platinum,35-44
USR01195,50,6,489570.39,81595.065,5,0,4.833333333333333,45,Other,Delhi,Gold,45-54
USR02663,113,4,651879.36,162969.84,3,1,4.75,60,Female,Ahmedabad,Silver,55+
USR02078,116,10,860056.2,86005.62,6,0,4.4,35,Female,Kolkata,Gold,35-44
USR02547,197,8,792621.5,99077.6875,4,1,5.25,40,Other,Delhi,Bronze,35-44
USR04158,39,9,1143467.66,127051.96222222221,6,1,5.444444444444445,54,Other,Ahmedabad,Platinum,45-54
USR01804,361,8,1109324.6300000001,138665.57875000002,5,1,5.625,24,Male,Bangalore,Platinum,18-24
USR00342,45,5,320863.38,64172.676,4,1,4.8,20,Female,Jaipur,Gold,18-24
USR02846,18,6,657585.46,109597.57666666666,5,1,5.666666666666667,51,Male,Bangalore,Platinum,45-54
USR02890,412,6,715470.1200000001,119245.02000000002,4,0,4.833333333333333,33,Female,Bangalore,Platinum,25-34
USR03608,31,9,671464.85,74607.20555555556,5,0,5.666666666666667,33,Female,Pune,Platinum,25-34
USR01815,26,6,837947.58,139657.93,4,0,7.166666666666667,51,Other,Ahmedabad,Platinum,45-54
USR04977,110,7,524865.04,74980.72,5,0,5.285714285714286,18,Other,Hyderabad,Silver,18-24
USR00265,17,6,342652.4,57108.73333333334,5,1,6.666666666666667,27,Other,Ahmedabad,Silver,25-34
USR03757,108,8,584185.99,73023.24875,7,0,6.25,18,Male,Mumbai,Silver,18-24
USR00382,62,7,233708.68,33386.95428571429,4,0,6.285714285714286,55,Other,Bangalore,Silver,55+
USR01043,37,7,991580.3099999999,141654.33,4,1,5.571428571428571,56,Male,Mumbai,Gold,55+
USR00564,141,5,355902.92,71180.584,4,1,5.0,22,Female,Mumbai,Bronze,18-24
USR00043,40,5,495528.01,99105.602,5,1,5.6,44,Female,Mumbai,Bronze,35-44
USR03255,119,6,449442.25,74907.04166666667,4,1,5.0,56,Other,Kolkata,Platinum,55+
USR04105,198,11,706901.25,64263.75,6,1,5.181818181818182,43,Other,Lucknow,Gold,35-44
USR03401,141,3,172360.68,57453.56,2,0,4.333333333333333,18,Other,Hyderabad,Gold,18-24
USR03906,207,4,275344.58999999997,68836.14749999999,4,1,4.25,64,Female,Lucknow,Platinum,55+
USR00698,20,9,681890.68,75765.63111111111,6,0,4.444444444444445,49,Other,Kolkata,Silver,45-54
USR04710,50,10,1095681.54,109568.15400000001,8,0,5.8,55,Other,Kolkata,Platinum,55+
USR02186,104,8,836529.18,104566.1475,5,1,5.75,34,Female,Kolkata,Platinum,25-34
USR03343,217,5,425855.5,85171.1,4,1,6.2,19,Other,Chennai,Gold,18-24
USR02160,68,11,1321211.2100000002,120110.11000000002,6,0,7.0,63,Male,Pune,Silver,55+
USR03833,55,13,1169504.35,89961.87307692309,8,1,5.615384615384615,26,Other,Lucknow,Platinum,25-34
USR01174,187,9,471380.25,52375.583333333336,4,0,3.7777777777777777,55,Other,Jaipur,Silver,55+
USR04216,13,7,806056.6500000001,115150.95000000003,6,1,3.4285714285714284,29,Female,Kolkata,Gold,25-34
USR04699,265,9,862698.5599999998,95855.39555555553,7,0,4.666666666666667,52,Male,Jaipur,Platinum,45-54
USR01956,251,6,665740.68,110956.78000000001,5,1,7.0,49,Male,Kolkata,Platinum,45-54
USR04075,101,8,725653.09,90706.63625,5,1,4.0,46,Male,Lucknow,Silver,45-54
USR02176,270,10,839118.38,83911.838,5,1,5.6,36,Male,Bangalore,Platinum,35-44
USR01757,167,8,582912.5700000001,72864.07125000001,5,1,4.25,60,Other,Lucknow,Silver,55+
USR02732,368,2,387134.27,193567.135,2,0,4.0,36,Male,Mumbai,Silver,35-44
USR04103,290,7,476294.13999999996,68042.01999999999,5,1,6.0,36,Other,Ahmedabad,Platinum,35-44
USR02387,30,12,851680.7699999999,70973.39749999999,5,0,5.333333333333333,40,Male,Ahmedabad,Platinum,35-44
USR00966,60,9,800031.2600000001,88892.36222222223,5,1,4.111111111111111,37,Other,Hyderabad,Platinum,35-44
USR01565,121,6,618028.1,103004.68333333333,4,1,6.166666666666667,19,Other,Lucknow,Silver,18-24
USR04954,143,9,714059.7699999999,79339.97444444444,4,1,5.888888888888889,29,Male,Kolkata,Platinum,25-34
USR03940,215,4,206053.28,51513.32,2,1,7.0,51,Male,Chennai,Gold,45-54
USR02430,13,9,655576.1300000001,72841.79222222224,6,1,5.0,30,Female,Pune,Bronze,25-34
USR00982,16,6,1016165.8500000001,169360.975,5,0,5.5,35,Male,Lucknow,Silver,35-44
USR01150,127,10,474765.39999999997,47476.53999999999,6,1,4.1,56,Female,Ahmedabad,Silver,55+
USR03791,28,9,715384.24,79487.13777777778,5,0,5.111111111111111,38,Other,Kolkata,Gold,35-44
USR02899,25,11,929090.85,84462.80454545455,6,0,6.818181818181818,42,Female,Delhi,Platinum,35-44
USR00289,143,5,499790.42000000004,99958.084,4,1,6.0,28,Male,Jaipur,Bronze,25-34
USR04989,27,7,1069944.55,152849.22142857144,5,1,6.428571428571429,21,Male,Ahmedabad,Platinum,18-24
USR00590,41,7,609503.99,87071.99857142857,6,1,7.428571428571429,24,Other,Chennai,Gold,18-24
USR01855,70,8,1124493.69,140561.71125,5,0,5.875,43,Other,Chennai,Gold,35-44
USR04879,130,8,750333.13,93791.64125,6,0,4.875,18,Female,Ahmedabad,Gold,18-24
USR00856,361,5,410381.09,82076.21800000001,5,1,6.8,50,Male,Lucknow,Silver,45-54
USR01488,131,11,1067296.73,97026.97545454545,7,0,6.181818181818182,64,Female,Kolkata,Gold,55+
USR01555,68,6,692508.16,115418.02666666667,5,0,6.166666666666667,62,Female,Jaipur,Bronze,55+
USR01085,125,12,1215193.8,101266.15000000001,5,0,4.916666666666667,29,Male,Chennai,Bronze,25-34
USR00305,21,7,450414.25,64344.892857142855,6,0,4.571428571428571,22,Female,Delhi,Platinum,18-24
USR02885,229,7,476387.83999999997,68055.4057142857,5,0,3.857142857142857,51,Female,Ahmedabad,Platinum,45-54
USR04132,59,7,528591.3200000001,75513.04571428572,5,1,6.142857142857143,42,Male,Hyderabad,Gold,35-44
USR00599,25,9,632129.33,70236.59222222221,5,0,5.777777777777778,49,Male,Lucknow,Gold,45-54
USR01612,1,6,564305.0700000001,94050.84500000002,4,0,4.666666666666667,23,Female,Hyderabad,Silver,18-24
USR03338,87,8,973821.3400000001,121727.66750000001,4,0,6.5,59,Female,Delhi,Gold,55+
USR02436,143,12,1218364.5999999999,101530.38333333332,7,1,6.083333333333333,26,Other,Pune,Platinum,25-34
USR02015,50,8,517198.13,64649.76625,5,0,4.25,43,Female,Delhi,Gold,35-44
USR04271,233,9,924244.5400000002,102693.8377777778,5,1,5.222222222222222,41,Other,Mumbai,Platinum,35-44
USR00042,291,6,564645.3,94107.55,5,0,6.0,24,Other,Pune,Gold,18-24
USR04723,15,6,377702.12,62950.35333333333,4,0,7.333333333333333,58,Female,Hyderabad,Bronze,55+
USR04357,326,3,87318.82,29106.273333333334,3,1,5.333333333333333,22,Female,Kolkata,Silver,18-24
USR03012,299,7,1035134.32,147876.33142857143,4,0,5.142857142857143,47,Male,Mumbai,Platinum,45-54
USR00961,438,6,396599.46,66099.91,5,0,5.333333333333333,42,Other,Chennai,Gold,35-44
USR02552,309,5,485550.16,97110.03199999999,2,0,5.0,49,Male,Bangalore,Gold,45-54
USR01439,70,4,199409.63999999998,49852.409999999996,3,0,8.0,32,Male,Mumbai,Silver,25-34
USR02341,9,10,983728.53,98372.853,4,0,4.6,34,Other,Hyderabad,Gold,25-34
USR04100,442,2,188973.46,94486.73,2,1,9.0,64,Male,Lucknow,Bronze,55+
USR00363,100,4,178190.91,44547.7275,4,0,7.5,33,Male,Mumbai,Silver,25-34
USR03842,41,7,588672.59,84096.08428571429,6,0,6.0,64,Other,Delhi,Platinum,55+
USR00831,213,6,552864.4,92144.06666666667,4,0,4.166666666666667,61,Other,Bangalore,Platinum,55+
USR01494,126,9,762969.2300000001,84774.3588888889,5,0,6.888888888888889,56,Other,Hyderabad,Silver,55+
USR03683,16,9,821034.58,91226.06444444443,4,1,5.888888888888889,65,Female,Jaipur,Silver,55+
USR02649,328,9,666153.48,74017.05333333333,6,0,6.222222222222222,55,Other,Pune,Platinum,55+
USR01201,338,5,262587.61,52517.522,3,0,3.6,57,Other,Ahmedabad,Platinum,55+
USR00984,8,7,736308.9600000001,105186.9942857143,5,0,6.142857142857143,44,Other,Delhi,Bronze,35-44
USR03797,117,4,227473.53,56868.3825,3,1,4.25,54,Male,Ahmedabad,Bronze,45-54
USR04114,104,7,869368.23,124195.46142857142,5,1,6.428571428571429,63,Male,Bangalore,Platinum,55+
USR01299,101,7,724671.63,103524.51857142858,5,0,5.285714285714286,39,Female,Kolkata,Bronze,35-44
USR02652,92,11,1048358.29,95305.29909090909,4,0,7.454545454545454,50,Male,Pune,Platinum,45-54
USR00432,71,5,675696.4600000001,135139.29200000002,5,0,5.0,21,Male,Pune,Gold,18-24
USR01021,184,7,808585.1799999999,115512.16857142856,6,0,6.714285714285714,23,Female,Lucknow,Gold,18-24
USR01220,43,13,979295.29,75330.40692307692,7,1,5.153846153846154,31,Other,Kolkata,Silver,25-34
USR03003,168,9,565148.53,62794.281111111115,5,0,5.777777777777778,36,Other,Kolkata,Gold,35-44
USR02576,304,6,662206.76,110367.79333333333,4,1,2.8333333333333335,45,Other,Delhi,Platinum,45-54
USR04535,201,6,568517.59,94752.93166666666,5,1,6.5,47,Female,Kolkata,Platinum,45-54
USR01614,135,7,552794.1900000001,78970.59857142858,6,0,4.857142857142857,47,Other,Chennai,Silver,45-54
USR00587,179,2,279534.36,139767.18,2,1,7.5,28,Female,Lucknow,Platinum,25-34
USR02459,23,6,502313.02999999997,83718.83833333333,4,0,5.666666666666667,57,Female,Hyderabad,Gold,55+
USR01147,27,6,503540.9,83923.48333333334,4,0,4.5,39,Female,Bangalore,Bronze,35-44
USR00640,72,4,296828.69,74207.1725,2,0,5.75,63,Male,Mumbai,Silver,55+
USR04698,8,7,871254.45,124464.92142857143,6,0,6.714285714285714,42,Male,Jaipur,Gold,35-44
USR01402,324,3,155044.45,51681.48333333334,3,0,3.6666666666666665,51,Other,Mumbai,Gold,45-54
USR01383,137,10,1027325.42,102732.542,7,0,6.9,59,Male,Mumbai,Platinum,55+
USR02302,75,8,1078641.96,134830.245,6,0,6.625,49,Male,Hyderabad,Silver,45-54
USR02592,146,5,484975.74,96995.148,3,0,6.0,45,Other,Kolkata,Gold,45-54
USR03096,38,8,686557.29,85819.66125,5,1,7.125,52,Other,Chennai,Silver,45-54
USR01105,80,10,663228.5,66322.85,6,1,5.4,19,Other,Kolkata,Silver,18-24
USR01999,77,4,585391.61,146347.9025,4,0,7.25,24,Female,Delhi,Silver,18-24
USR00558,143,4,136287.64,34071.91,4,0,4.75,50,Other,Jaipur,Silver,45-54
USR00879,17,9,722682.71,80298.07888888888,6,0,5.0,38,Other,Mumbai,Gold,35-44
USR00443,471,9,743871.86,82652.42888888888,7,1,7.222222222222222,18,Other,Hyderabad,Gold,18-24
USR00531,37,6,887490.9199999999,147915.15333333332,5,1,6.666666666666667,37,Female,Hyderabad,Gold,35-44
USR00537,538,6,387997.64999999997,64666.274999999994,2,0,5.333333333333333,61,Female,Bangalore,Silver,55+
USR03890,62,8,355404.02999999997,44425.503749999996,6,0,5.5,60,Male,Mumbai,Silver,55+
USR03617,264,11,1471259.3800000001,133750.85272727275,7,1,3.727272727272727,49,Other,Ahmedabad,Platinum,45-54
USR04985,46,7,803121.42,114731.63142857143,5,0,5.428571428571429,23,Other,Ahmedabad,Gold,18-24
USR03548,4,5,345530.47,69106.094,3,1,7.2,36,Female,Jaipur,Bronze,35-44
USR03275,262,7,864727.2400000001,123532.46285714288,4,0,5.428571428571429,30,Female,Ahmedabad,Platinum,25-34
USR02531,102,9,581485.01,64609.445555555554,7,0,5.111111111111111,58,Female,Ahmedabad,Silver,55+
USR00222,112,12,1688478.4,140706.53333333333,5,1,4.916666666666667,23,Female,Hyderabad,Platinum,18-24
USR01636,48,7,542739.4199999999,77534.20285714285,5,0,5.857142857142857,25,Male,Bangalore,Platinum,25-34
USR00355,185,4,304578.31000000006,76144.57750000001,4,0,6.0,40,Female,Mumbai,Gold,35-44
USR01609,1,11,1027988.91,93453.53727272728,7,0,4.181818181818182,49,Female,Kolkata,Silver,45-54
USR03816,5,7,745558.62,106508.37428571428,5,1,6.142857142857143,56,Male,Bangalore,Platinum,55+
USR02317,14,3,180830.55,60276.85,2,1,8.0,61,Male,Chennai,Bronze,55+
USR04014,265,8,905465.1,113183.1375,4,1,7.5,55,Female,Bangalore,Silver,55+
USR04248,162,5,740529.98,148105.99599999998,3,0,8.0,20,Male,Delhi,Silver,18-24
USR04800,92,6,787433.6299999999,131238.93833333332,2,1,6.333333333333333,18,Male,Chennai,Gold,18-24
USR00063,208,4,463423.48000000004,115855.87000000001,3,0,3.75,40,Male,Chennai,Gold,35-44
USR02190,344,7,576629.34,82375.62,6,0,4.857142857142857,23,Other,Pune,Platinum,18-24
USR02860,22,6,646717.5399999999,107786.25666666665,5,1,6.0,48,Female,Lucknow,Silver,45-54
USR03496,57,9,786490.43,87387.82555555557,5,1,6.222222222222222,64,Female,Kolkata,Gold,55+
USR01780,323,4,425347.04,106336.76,4,0,5.75,59,Other,Mumbai,Platinum,55+
USR03602,108,7,539710.72,77101.53142857143,5,1,5.428571428571429,55,Male,Pune,Silver,55+
USR00508,42,7,526555.5700000001,75222.2242857143,5,1,5.857142857142857,50,Other,Pune,Silver,45-54
USR01594,115,5,732547.4999999999,146509.49999999997,3,0,4.0,49,Male,Bangalore,Bronze,45-54
USR02331,421,4,281727.69999999995,70431.92499999999,4,1,5.25,51,Other,Bangalore,Silver,45-54
USR01750,92,7,585580.84,83654.4057142857,5,1,4.714285714285714,41,Male,Ahmedabad,Bronze,35-44
