review_id,product_id,user_id,rating,review_text,review_date,helpful_votes,category
REV000031,PRD0029,USR01115,5,Top quality. Will buy again.,2025-04-14,58,Fashion
REV000032,PRD0469,USR00706,5,Very fast delivery and great quality.,2024-05-10,100,Grocery
REV000033,PRD0269,USR02992,4,Excellent product! Highly recommended.,2024-07-11,108,Electronics
REV000034,PRD0059,USR00575,4,Amazing value for money. Love it!,2024-10-20,197,Grocery
REV000035,PRD0211,USR01979,5,Amazing value for money. Love it!,2024-11-29,167,Books
REV000036,PRD0377,USR02928,5,Amazing value for money. Love it!,2025-04-11,68,Books
REV000037,PRD0241,USR03912,5,Works perfectly. Exactly as described.,2025-08-19,179,Books
REV000038,PRD0265,USR03098,4,Amazing value for money. Love it!,2025-06-11,200,Books
REV000039,PRD0283,USR03956,5,Works perfectly. Exactly as described.,2024-09-04,90,Books
REV000040,PRD0408,USR00210,2,Very disappointed. Not as shown in pictures.,2024-12-16,105,Books
REV000041,PRD0186,USR03941,5,Best purchase I made this year.,2026-01-15,19,Fashion
REV000042,PRD0169,USR02132,1,Product stopped working after 2 days.,2025-04-04,170,Sports
REV000043,PRD0349,USR01346,5,Best purchase I made this year.,2025-05-17,59,Beauty
REV000044,PRD0388,USR03279,3,Okay product. Average quality.,2024-12-22,77,Beauty
REV000045,PRD0455,USR00971,4,Best purchase I made this year.,2025-12-29,149,Grocery
REV000046,PRD0115,USR02748,3,Okay product. Average quality.,2024-07-29,194,Toys
REV000047,PRD0262,USR01914,5,Top quality. Will buy again.,2025-06-27,42,Toys
REV000048,PRD0356,USR00381,5,Works perfectly. Exactly as described.,2024-09-19,20,Home & Kitchen
REV000049,PRD0467,USR01674,3,Nothing special but works fine.,2024-08-08,196,Electronics
REV000050,PRD0375,USR01075,4,Works perfectly. Exactly as described.,2026-01-17,17,Sports
REV000051,PRD0408,USR03630,5,Very fast delivery and great quality.,2025-12-16,56,Books
REV000052,PRD0021,USR00271,4,Very fast delivery and great quality.,2025-12-05,0,Toys
REV000053,PRD0390,USR02891,5,Works perfectly. Exactly as described.,2025-01-29,61,Books
REV000054,PRD0471,USR00052,4,Top quality. Will buy again.,2025-07-21,106,Grocery
REV000055,PRD0423,USR01701,2,Product stopped working after 2 days.,2024-04-17,103,Books
REV000056,PRD0434,USR00850,4,Very fast delivery and great quality.,2025-01-06,176,Sports
REV000057,PRD0225,USR04630,4,Amazing value for money. Love it!,2025-03-05,82,Home & Kitchen
REV000058,PRD0131,USR00002,4,Excellent product! Highly recommended.,2025-08-10,35,Home & Kitchen
REV000059,PRD0485,USR03928,4,Best purchase I made this year.,2024-08-28,25,Books
REV000060,PRD0471,USR00487,4,Works perfectly. Exactly as described.,2025-04-17,159,Grocery
REV000061,PRD0217,USR04453,3,Average experience. Delivery was okay.,2024-06-22,169,Beauty
REV000062,PRD0495,USR04966,4,Very fast delivery and great quality.,2026-03-17,84,Electronics
REV000063,PRD0417,USR01614,4,Very fast delivery and great quality.,2025-03-22,181,Fashion
REV000064,PRD0090,USR01483,5,Top quality. Will buy again.,2026-02-05,35,Toys
REV000065,PRD0491,USR00198,4,Very fast delivery and great quality.,2025-08-19,87,Sports
REV000066,PRD0012,USR01876,5,Very fast delivery and great quality.,2024-12-11,137,Toys
REV000067,PRD0273,USR01041,4,Top quality. Will buy again.,2024-04-10,22,Books
REV000068,PRD0428,USR00738,3,Okay product. Average quality.,2025-11-13,82,Beauty
REV000069,PRD0044,USR02277,5,Very fast delivery and great quality.,2025-02-21,47,Grocery
REV000070,PRD0163,USR03219,5,Works perfectly. Exactly as described.,2025-02-03,54,Toys
REV000071,PRD0412,USR03864,1,Very disappointed. Not as shown in pictures.,2024-11-18,196,Fashion
REV000072,PRD0229,USR00266,5,Works perfectly. Exactly as described.,2025-03-29,77,Books
REV000073,PRD0194,USR01801,4,Excellent product! Highly recommended.,2025-12-16,159,Grocery
REV000074,PRD0011,USR04003,1,Very disappointed. Not as shown in pictures.,2025-08-26,83,Sports
REV000075,PRD0429,USR01289,1,Product stopped working after 2 days.,2026-01-23,78,Electronics
REV000076,PRD0010,USR00762,2,Defective item received. No proper support.,2024-05-16,61,Books
REV000077,PRD0063,USR03930,5,Very fast delivery and great quality.,2024-11-09,172,Sports
REV000078,PRD0025,USR01559,5,Excellent product! Highly recommended.,2025-03-22,74,Home & Kitchen
REV000079,PRD0154,USR02523,5,Excellent product! Highly recommended.,2025-08-03,168,Books
REV000080,PRD0106,USR02391,4,Very fast delivery and great quality.,2024-04-10,109,Toys
REV000081,PRD0169,USR00292,5,Amazing value for money. Love it!,2025-11-27,34,Sports
REV000082,PRD0274,USR01903,4,Amazing value for money. Love it!,2025-09-22,32,Home & Kitchen
REV000083,PRD0296,USR01081,3,Decent. Could be better for the price.,2024-08-23,188,Home & Kitchen
REV000084,PRD0248,USR02233,2,Worst product ever. Do not buy.,2024-05-08,194,Sports
REV000085,PRD0073,USR02349,5,Works perfectly. Exactly as described.,2025-05-06,52,Fashion
REV000086,PRD0319,USR01225,4,Excellent product! Highly recommended.,2024-06-22,52,Electronics
REV000087,PRD0443,USR00024,3,Nothing special but works fine.,2025-08-08,36,Toys
REV000088,PRD0458,USR02386,3,Average experience. Delivery was okay.,2024-06-17,114,Electronics
REV000089,PRD0227,USR01623,1,Product stopped working after 2 days.,2026-04-03,152,Home & Kitchen
REV000090,PRD0486,USR00816,3,Average experience. Delivery was okay.,2025-04-14,114,Toys
REV000091,PRD0306,USR01376,5,Works perfectly. Exactly as described.,2024-07-17,197,Books
REV000092,PRD0407,USR02656,3,Nothing special but works fine.,2025-07-23,66,Fashion
REV000093,PRD0003,USR02172,4,Best purchase I made this year.,2025-12-14,8,Sports
REV000094,PRD0350,USR03656,5,Best purchase I made this year.,2024-04-12,32,Toys
REV000095,PRD0180,USR01398,5,Amazing value for money. Love it!,2024-05-29,57,Electronics
REV000096,PRD0216,USR00727,1,Worst product ever. Do not buy.,2025-12-02,151,Sports
REV000097,PRD0050,USR04075,5,Very fast delivery and great quality.,2025-02-26,29,Grocery
REV000098,PRD0042,USR00311,5,Best purchase I made this year.,2026-01-17,106,Toys
REV000099,PRD0128,USR01083,2,Defective item received. No proper support.,2024-09-01,148,Home & Kitchen
REV000100,PRD0075,USR04154,4,Amazing value for money. Love it!,2025-05-26,58,Toys
REV000101,PRD0278,USR00019,2,Worst product ever. Do not buy.,2025-03-18,77,Fashion
REV000102,PRD0096,USR02211,4,Very fast delivery and great quality.,2025-11-06,56,Books
REV000103,PRD0237,USR02200,4,Works perfectly. Exactly as described.,2025-11-21,164,Beauty
REV000104,PRD0258,USR01684,1,Defective item received. No proper support.,2024-05-10,153,Home & Kitchen
REV000105,PRD0352,USR01801,3,Nothing special but works fine.,2025-11-19,115,Sports
REV000106,PRD0495,USR01771,3,Okay product. Average quality.,2026-02-11,112,Electronics
REV000107,PRD0305,USR04670,4,Top quality. Will buy again.,2024-11-13,129,Sports
REV000108,PRD0116,USR02634,5,Amazing value for money. Love it!,2025-04-13,103,Beauty
REV000109,PRD0006,USR02600,4,Very fast delivery and great quality.,2025-04-12,119,Electronics
REV000110,PRD0043,USR04883,5,Excellent product! Highly recommended.,2025-09-26,110,Home & Kitchen
REV000111,PRD0078,USR00909,5,Top quality. Will buy again.,2025-05-10,112,Toys
REV000112,PRD0485,USR02512,4,Top quality. Will buy again.,2025-05-15,167,Books
REV000113,PRD0146,USR03797,2,Defective item received. No proper support.,2025-08-04,97,Electronics
REV000114,PRD0209,USR01612,1,Very disappointed. Not as shown in pictures.,2026-03-08,103,Electronics
REV000115,PRD0177,USR03702,4,Best purchase I made this year.,2025-10-18,46,Fashion
REV000116,PRD0158,USR02651,3,Average experience. Delivery was okay.,2025-08-24,58,Beauty
REV000117,PRD0240,USR04359,5,Very fast delivery and great quality.,2024-12-16,190,Sports
REV000118,PRD0034,USR02368,4,Very fast delivery and great quality.,2024-06-09,19,Beauty
REV000119,PRD0347,USR04030,3,Nothing special but works fine.,2025-06-15,5,Home & Kitchen
REV000120,PRD0340,USR04963,5,Top quality. Will buy again.,2024-10-26,58,Beauty
REV000121,PRD0174,USR00547,5,Amazing value for money. Love it!,2024-10-30,79,Fashion
REV000122,PRD0220,USR00740,5,Excellent product! Highly recommended.,2024-04-08,113,Sports
REV000123,PRD0464,USR03710,5,Top quality. Will buy again.,2025-05-23,16,Toys
REV000124,PRD0303,USR02801,5,Amazing value for money. Love it!,2024-12-27,27,Home & Kitchen
REV000125,PRD0258,USR03398,4,Top quality. Will buy again.,2024-10-25,94,Home & Kitchen
REV000126,PRD0465,USR03878,2,Fake product. Totally different from description.,2025-11-13,75,Toys
REV000127,PRD0073,USR00638,4,Very fast delivery and great quality.,2024-08-22,162,Fashion
REV000128,PRD0323,USR04849,1,Pathetic quality. Waste of money.,2024-06-15,64,Home & Kitchen
REV000129,PRD0308,USR02896,5,Top quality. Will buy again.,2025-06-19,175,Fashion
REV000130,PRD0004,USR00069,3,Okay product. Average quality.,2025-09-18,86,Toys
REV000131,PRD0015,USR04582,5,Amazing value for money. Love it!,2025-04-15,48,Fashion
REV000132,PRD0496,USR01846,4,Works perfectly. Exactly as described.,2025-07-16,90,Beauty
REV000133,PRD0205,USR01854,5,Very fast delivery and great quality.,2025-01-16,77,Sports
REV000134,PRD0423,USR02962,4,Works perfectly. Exactly as described.,2024-11-14,127,Books
REV000135,PRD0338,USR02798,1,Very disappointed. Not as shown in pictures.,2024-11-18,11,Beauty
REV000136,PRD0388,USR02327,3,Average experience. Delivery was okay.,2025-12-28,135,Beauty
REV000137,PRD0154,USR04671,5,Amazing value for money. Love it!,2025-10-31,117,Books
REV000138,PRD0377,USR01998,5,Works perfectly. Exactly as described.,2024-08-15,191,Books
REV000139,PRD0290,USR00327,4,Very fast delivery and great quality.,2024-08-29,43,Electronics
REV000140,PRD0450,USR02587,1,Worst product ever. Do not buy.,2024-08-31,0,Books
REV000141,PRD0026,USR04563,4,Best purchase I made this year.,2025-06-23,182,Electronics
REV000142,PRD0167,USR03340,5,Best purchase I made this year.,2025-02-06,199,Sports
REV000143,PRD0052,USR03586,5,Amazing value for money. Love it!,2024-08-29,8,Beauty
REV000144,PRD0204,USR00985,5,Top quality. Will buy again.,2025-06-06,148,Fashion
REV000145,PRD0032,USR00511,5,Best purchase I made this year.,2025-08-07,78,Toys
REV000146,PRD0258,USR00107,4,Top quality. Will buy again.,2025-07-10,105,Home & Kitchen
REV000147,PRD0371,USR02314,5,Very fast delivery and great quality.,2025-08-15,129,Electronics
REV000148,PRD0213,USR04405,4,Excellent product! Highly recommended.,2025-05-21,7,Books
REV000149,PRD0334,USR00295,3,Decent. Could be better for the price.,2025-03-07,135,Books
REV000150,PRD0399,USR04674,4,Top quality. Will buy again.,2025-03-05,90,Sports
REV000151,PRD0483,USR02471,5,Amazing value for money. Love it!,2025-05-09,71,Fashion
REV000152,PRD0196,USR01943,3,Nothing special but works fine.,2026-03-17,55,Toys
REV000153,PRD0449,USR01830,5,Top quality. Will buy again.,2026-02-16,53,Home & Kitchen
REV000154,PRD0123,USR00953,5,Best purchase I made this year.,2025-02-09,97,Home & Kitchen
REV000155,PRD0001,USR00564,2,Very disappointed. Not as shown in pictures.,2025-11-26,29,Grocery
REV000156,PRD0393,USR01688,4,Amazing value for money. Love it!,2024-04-24,68,Grocery
REV000157,PRD0156,USR01492,4,Amazing value for money. Love it!,2024-10-07,97,Electronics
REV000158,PRD0311,USR00432,1,Product stopped working after 2 days.,2024-09-19,50,Toys
REV000159,PRD0375,USR02837,4,Amazing value for money. Love it!,2026-01-23,45,Sports
REV000160,PRD0060,USR02645,5,Excellent product! Highly recommended.,2024-06-08,149,Grocery
REV000161,PRD0347,USR03766,4,Excellent product! Highly recommended.,2025-01-24,64,Home & Kitchen
REV000162,PRD0146,USR02931,5,Amazing value for money. Love it!,2026-01-06,13,Electronics
REV000163,PRD0148,USR01534,5,Amazing value for money. Love it!,2024-05-25,198,Sports
REV000164,PRD0304,USR01884,3,Nothing special but works fine.,2025-01-01,4,Fashion
REV000165,PRD0170,USR02059,4,Works perfectly. Exactly as described.,2025-02-17,41,Beauty
REV000166,PRD0151,USR04425,5,Amazing value for money. Love it!,2025-06-21,127,Electronics
REV000167,PRD0279,USR02154,5,Very fast delivery and great quality.,2024-12-11,76,Toys
REV000168,PRD0033,USR00100,5,Works perfectly. Exactly as described.,2025-11-25,34,Sports
REV000169,PRD0011,USR04824,3,Okay product. Average quality.,2025-02-01,100,Sports
REV000170,PRD0085,USR04065,5,Best purchase I made this year.,2025-12-06,127,Toys
REV000171,PRD0320,USR00593,3,Okay product. Average quality.,2024-06-26,30,Grocery
REV000172,PRD0269,USR01916,4,Best purchase I made this year.,2025-05-30,175,Electronics
REV000173,PRD0409,USR00017,2,Fake product. Totally different from description.,2025-10-22,94,Electronics
REV000174,PRD0351,USR04477,5,Works perfectly. Exactly as described.,2025-01-28,92,Grocery
REV000175,PRD0378,USR02034,5,Top quality. Will buy again.,2024-09-01,123,Toys
REV000176,PRD0418,USR04300,2,Fake product. Totally different from description.,2025-08-29,92,Books
REV000177,PRD0171,USR01549,3,Nothing special but works fine.,2025-01-03,145,Grocery
REV000178,PRD0125,USR00001,5,Top quality. Will buy again.,2025-04-13,83,Books
REV000179,PRD0199,USR00960,3,Okay product. Average quality.,2025-11-08,148,Books
REV000180,PRD0196,USR00513,4,Very fast delivery and great quality.,2025-05-07,200,Toys
REV000181,PRD0025,USR04110,5,Works perfectly. Exactly as described.,2024-09-17,156,Home & Kitchen
REV000182,PRD0053,USR03066,4,Top quality. Will buy again.,2025-10-03,28,Grocery
REV000183,PRD0102,USR03487,5,Amazing value for money. Love it!,2025-09-18,150,Beauty
REV000184,PRD0057,USR00801,5,Amazing value for money. Love it!,2024-05-23,34,Beauty
REV000185,PRD0078,USR02556,1,Pathetic quality. Waste of money.,2024-08-12,13,Toys
REV000186,PRD0345,USR04663,4,Excellent product! Highly recommended.,2025-03-02,48,Toys
REV000187,PRD0486,USR03207,3,Okay product. Average quality.,2024-06-09,64,Toys
REV000188,PRD0199,USR04872,5,Excellent product! Highly recommended.,2025-08-26,111,Books
REV000189,PRD0273,USR02887,4,Top quality. Will buy again.,2024-07-05,23,Books
REV000190,PRD0464,USR00451,2,Worst product ever. Do not buy.,2025-04-07,103,Toys
REV000191,PRD0335,USR04108,4,Excellent product! Highly recommended.,2025-12-06,53,Grocery
REV000192,PRD0326,USR02210,5,Top quality. Will buy again.,2025-05-12,171,Fashion
REV000193,PRD0250,USR00634,5,Top quality. Will buy again.,2025-05-20,57,Beauty
REV000194,PRD0456,USR03471,3,Average experience. Delivery was okay.,2024-05-27,110,Electronics
REV000195,PRD0016,USR02902,4,Top quality. Will buy again.,2025-03-03,56,Sports
REV000196,PRD0427,USR01678,4,Works perfectly. Exactly as described.,2025-07-19,52,Grocery
REV000197,PRD0035,USR00083,4,Excellent product! Highly recommended.,2024-08-02,70,Grocery
REV000198,PRD0200,USR02160,4,Top quality. Will buy again.,2024-08-07,175,Grocery
REV000199,PRD0243,USR01027,4,Amazing value for money. Love it!,2025-06-04,95,Books
REV000200,PRD0024,USR00659,2,Pathetic quality. Waste of money.,2025-09-06,73,Electronics
REV000201,PRD0247,USR03186,4,Very fast delivery and great quality.,2025-09-22,197,Grocery
REV000202,PRD0398,USR02915,3,Decent. Could be better for the price.,2024-07-01,49,Electronics
REV000203,PRD0176,USR01121,5,Works perfectly. Exactly as described.,2024-06-18,134,Grocery
REV000204,PRD0075,USR00505,3,Nothing special but works fine.,2025-12-09,36,Toys
REV000205,PRD0072,USR03351,5,Very fast delivery and great quality.,2025-08-16,102,Sports
REV000206,PRD0143,USR04289,5,Works perfectly. Exactly as described.,2025-11-28,58,Books
REV000207,PRD0200,USR04840,5,Amazing value for money. Love it!,2025-02-17,93,Grocery
REV000208,PRD0134,USR01322,3,Nothing special but works fine.,2025-05-31,127,Beauty
REV000209,PRD0233,USR03054,3,Okay product. Average quality.,2025-03-05,65,Fashion
REV000210,PRD0079,USR00355,5,Excellent product! Highly recommended.,2024-12-14,135,Electronics
REV000211,PRD0346,USR00510,4,Excellent product! Highly recommended.,2026-02-07,59,Grocery
REV000212,PRD0472,USR02282,1,Fake product. Totally different from description.,2025-07-20,66,Fashion
REV000213,PRD0404,USR04401,4,Excellent product! Highly recommended.,2026-03-16,39,Books
REV000214,PRD0474,USR04829,5,Best purchase I made this year.,2025-01-18,3,Beauty
REV000215,PRD0470,USR04125,4,Very fast delivery and great quality.,2024-08-16,134,Electronics
REV000216,PRD0234,USR02565,5,Very fast delivery and great quality.,2025-05-11,152,Sports
REV000217,PRD0188,USR00603,4,Amazing value for money. Love it!,2025-04-21,113,Grocery
REV000218,PRD0010,USR02190,5,Top quality. Will buy again.,2024-07-17,183,Books
REV000219,PRD0307,USR03338,5,Amazing value for money. Love it!,2025-01-26,169,Books
REV000220,PRD0129,USR00725,5,Very fast delivery and great quality.,2024-08-01,135,Fashion
REV000221,PRD0155,USR03456,4,Excellent product! Highly recommended.,2025-11-13,74,Electronics
REV000222,PRD0491,USR01127,4,Amazing value for money. Love it!,2025-12-02,175,Sports
REV000223,PRD0497,USR01494,3,Average experience. Delivery was okay.,2025-03-31,20,Beauty
REV000224,PRD0188,USR02775,3,Decent. Could be better for the price.,2024-05-19,137,Grocery
REV000225,PRD0251,USR00560,1,Pathetic quality. Waste of money.,2025-02-22,50,Electronics
REV000226,PRD0069,USR00065,5,Best purchase I made this year.,2025-09-28,25,Fashion
REV000227,PRD0053,USR02063,5,Works perfectly. Exactly as described.,2024-04-13,50,Grocery
REV000228,PRD0446,USR03344,5,Excellent product! Highly recommended.,2025-12-26,92,Sports
REV000229,PRD0443,USR02455,4,Excellent product! Highly recommended.,2026-02-27,190,Toys
REV000230,PRD0334,USR04186,5,Excellent product! Highly recommended.,2026-01-15,4,Books
REV000231,PRD0227,USR04785,5,Excellent product! Highly recommended.,2026-01-01,135,Home & Kitchen
REV000232,PRD0316,USR00649,4,Works perfectly. Exactly as described.,2025-09-16,92,Sports
REV000233,PRD0107,USR03497,4,Amazing value for money. Love it!,2025-04-26,39,Electronics
REV000234,PRD0311,USR02502,4,Works perfectly. Exactly as described.,2024-10-24,15,Toys
REV000235,PRD0414,USR00996,5,Works perfectly. Exactly as described.,2025-03-04,69,Toys
REV000236,PRD0313,USR01268,1,Defective item received. No proper support.,2024-11-17,178,Fashion
REV000237,PRD0399,USR04197,2,Worst product ever. Do not buy.,2025-12-01,27,Sports
REV000238,PRD0186,USR03248,2,Pathetic quality. Waste of money.,2025-07-01,75,Fashion
REV000239,PRD0174,USR03882,5,Very fast delivery and great quality.,2024-08-26,79,Fashion
REV000240,PRD0017,USR02271,4,Excellent product! Highly recommended.,2026-02-04,64,Electronics
REV000241,PRD0431,USR00817,4,Amazing value for money. Love it!,2025-05-06,70,Grocery
REV000242,PRD0477,USR00379,4,Best purchase I made this year.,2024-09-09,198,Beauty
REV000243,PRD0406,USR00431,5,Works perfectly. Exactly as described.,2025-09-09,152,Books
REV000244,PRD0287,USR02838,3,Average experience. Delivery was okay.,2025-10-27,98,Sports
REV000245,PRD0496,USR03505,2,Pathetic quality. Waste of money.,2025-03-22,64,Beauty
REV000246,PRD0258,USR02560,2,Very disappointed. Not as shown in pictures.,2025-06-28,16,Home & Kitchen
REV000247,PRD0440,USR04611,1,Very disappointed. Not as shown in pictures.,2024-10-10,63,Books
REV000248,PRD0203,USR04955,5,Amazing value for money. Love it!,2025-10-10,103,Beauty
REV000249,PRD0339,USR01316,3,Decent. Could be better for the price.,2024-07-02,142,Electronics
REV000250,PRD0121,USR04923,2,Defective item received. No proper support.,2025-11-18,110,Electronics
REV000251,PRD0046,USR04448,5,Excellent product! Highly recommended.,2026-03-20,69,Books
REV000252,PRD0317,USR02633,3,Decent. Could be better for the price.,2025-11-06,44,Toys
REV000253,PRD0368,USR01762,1,Worst product ever. Do not buy.,2024-09-01,132,Beauty
REV000254,PRD0412,USR01067,5,Works perfectly. Exactly as described.,2024-10-25,75,Fashion
REV000255,PRD0161,USR04543,3,Okay product. Average quality.,2025-05-30,40,Beauty
REV000256,PRD0210,USR02157,4,Very fast delivery and great quality.,2026-02-12,11,Sports
REV000257,PRD0497,USR01016,4,Very fast delivery and great quality.,2024-06-17,155,Beauty
REV000258,PRD0420,USR02566,5,Amazing value for money. Love it!,2026-03-02,110,Grocery
REV000259,PRD0429,USR03252,5,Amazing value for money. Love it!,2025-02-03,166,Electronics
REV000260,PRD0331,USR04924,4,Best purchase I made this year.,2024-07-01,46,Beauty
REV000261,PRD0164,USR00342,4,Very fast delivery and great quality.,2026-02-23,68,Fashion
REV000262,PRD0373,USR00225,5,Top quality. Will buy again.,2024-09-23,133,Grocery
REV000263,PRD0362,USR00066,4,Excellent product! Highly recommended.,2025-06-29,45,Toys
REV000264,PRD0368,USR04996,4,Amazing value for money. Love it!,2025-11-07,176,Beauty
REV000265,PRD0110,USR04137,5,Works perfectly. Exactly as described.,2024-11-01,177,Fashion
REV000266,PRD0239,USR00747,1,Product stopped working after 2 days.,2025-06-18,18,Beauty
REV000267,PRD0483,USR04166,2,Very disappointed. Not as shown in pictures.,2025-02-27,86,Fashion
REV000268,PRD0198,USR02901,5,Amazing value for money. Love it!,2025-11-30,167,Home & Kitchen
REV000269,PRD0296,USR04847,4,Very fast delivery and great quality.,2025-06-08,37,Home & Kitchen
REV000270,PRD0150,USR00577,4,Very fast delivery and great quality.,2024-04-06,171,Grocery
REV000271,PRD0025,USR03100,4,Excellent product! Highly recommended.,2024-07-07,110,Home & Kitchen
REV000272,PRD0145,USR04988,5,Very fast delivery and great quality.,2026-02-13,158,Fashion
REV000273,PRD0381,USR02763,5,Works perfectly. Exactly as described.,2024-10-18,59,Sports
REV000274,PRD0329,USR02515,5,Very fast delivery and great quality.,2024-10-29,64,Electronics
REV000275,PRD0095,USR00065,4,Top quality. Will buy again.,2026-02-11,110,Fashion
REV000276,PRD0113,USR02465,5,Very fast delivery and great quality.,2025-08-17,43,Beauty
REV000277,PRD0188,USR03790,4,Very fast delivery and great quality.,2026-02-22,163,Grocery
REV000278,PRD0414,USR04265,1,Pathetic quality. Waste of money.,2025-03-25,65,Toys
REV000279,PRD0135,USR00198,4,Excellent product! Highly recommended.,2024-06-19,115,Electronics
REV000280,PRD0054,USR03619,2,Defective item received. No proper support.,2025-02-23,113,Toys
REV000281,PRD0352,USR01950,5,Works perfectly. Exactly as described.,2025-04-30,109,Sports
REV000282,PRD0138,USR03244,4,Amazing value for money. Love it!,2025-10-13,15,Home & Kitchen
REV000283,PRD0085,USR02025,5,Top quality. Will buy again.,2024-06-23,153,Toys
REV000284,PRD0335,USR04266,2,Defective item received. No proper support.,2024-07-09,60,Grocery
REV000285,PRD0105,USR02231,5,Works perfectly. Exactly as described.,2025-05-19,14,Grocery
REV000286,PRD0247,USR04769,1,Product stopped working after 2 days.,2025-07-09,112,Grocery
REV000287,PRD0266,USR02512,2,Product stopped working after 2 days.,2024-10-29,194,Beauty
REV000288,PRD0141,USR00901,4,Best purchase I made this year.,2024-04-19,101,Books
REV000289,PRD0276,USR03094,3,Average experience. Delivery was okay.,2024-11-24,10,Toys
REV000290,PRD0001,USR02671,4,Best purchase I made this year.,2024-04-05,37,Grocery
REV000291,PRD0241,USR00849,5,Best purchase I made this year.,2024-09-05,81,Books
REV000292,PRD0237,USR04738,2,Very disappointed. Not as shown in pictures.,2025-07-13,159,Beauty
REV000293,PRD0235,USR00062,4,Best purchase I made this year.,2024-04-16,18,Electronics
REV000294,PRD0358,USR02925,5,Very fast delivery and great quality.,2025-04-07,153,Electronics
REV000295,PRD0266,USR02771,5,Amazing value for money. Love it!,2025-07-14,179,Beauty
REV000296,PRD0037,USR00818,1,Pathetic quality. Waste of money.,2024-12-10,6,Sports
REV000297,PRD0118,USR03136,4,Top quality. Will buy again.,2025-05-22,95,Fashion
REV000298,PRD0128,USR04664,4,Top quality. Will buy again.,2024-10-26,142,Home & Kitchen
REV000299,PRD0071,USR01738,5,Amazing value for money. Love it!,2025-01-20,154,Books
REV000300,PRD0080,USR02429,3,Nothing special but works fine.,2025-02-05,18,Electronics
REV000301,PRD0009,USR01807,3,Average experience. Delivery was okay.,2024-07-07,104,Toys
REV000302,PRD0267,USR03199,3,Okay product. Average quality.,2024-09-26,39,Home & Kitchen
REV000303,PRD0467,USR03462,5,Amazing value for money. Love it!,2025-10-25,188,Electronics
REV000304,PRD0275,USR01184,5,Very fast delivery and great quality.,2025-01-07,14,Beauty
REV000305,PRD0488,USR00418,5,Excellent product! Highly recommended.,2025-06-12,41,Toys
REV000306,PRD0012,USR01281,4,Excellent product! Highly recommended.,2024-11-27,144,Toys
REV000307,PRD0372,USR00309,2,Fake product. Totally different from description.,2025-06-19,41,Fashion
REV000308,PRD0177,USR03938,5,Works perfectly. Exactly as described.,2024-07-09,110,Fashion
REV000309,PRD0382,USR03610,5,Very fast delivery and great quality.,2025-01-08,145,Home & Kitchen
