review_id,product_id,rating,review_text,sentiment_label,helpful_votes,review_length,category
REV000039,PRD0283,5,Works perfectly. Exactly as described.,Positive,90,38,Books
REV000040,PRD0408,2,Very disappointed. Not as shown in pictures.,Negative,105,44,Books
REV000041,PRD0186,5,Best purchase I made this year.,Positive,19,31,Fashion
REV000042,PRD0169,1,Product stopped working after 2 days.,Negative,170,37,Sports
REV000043,PRD0349,5,Best purchase I made this year.,Positive,59,31,Beauty
REV000044,PRD0388,3,Okay product. Average quality.,Neutral,77,30,Beauty
REV000045,PRD0455,4,Best purchase I made this year.,Positive,149,31,Grocery
REV000046,PRD0115,3,Okay product. Average quality.,Neutral,194,30,Toys
REV000047,PRD0262,5,Top quality. Will buy again.,Positive,42,28,Toys
REV000048,PRD0356,5,Works perfectly. Exactly as described.,Positive,20,38,Home & Kitchen
REV000049,PRD0467,3,Nothing special but works fine.,Neutral,196,31,Electronics
REV000050,PRD0375,4,Works perfectly. Exactly as described.,Positive,17,38,Sports
REV000051,PRD0408,5,Very fast delivery and great quality.,Positive,56,37,Books
REV000052,PRD0021,4,Very fast delivery and great quality.,Positive,0,37,Toys
REV000053,PRD0390,5,Works perfectly. Exactly as described.,Positive,61,38,Books
REV000054,PRD0471,4,Top quality. Will buy again.,Positive,106,28,Grocery
REV000055,PRD0423,2,Product stopped working after 2 days.,Negative,103,37,Books
REV000056,PRD0434,4,Very fast delivery and great quality.,Positive,176,37,Sports
REV000057,PRD0225,4,Amazing value for money. Love it!,Positive,82,33,Home & Kitchen
REV000058,PRD0131,4,Excellent product! Highly recommended.,Positive,35,38,Home & Kitchen
REV000059,PRD0485,4,Best purchase I made this year.,Positive,25,31,Books
REV000060,PRD0471,4,Works perfectly. Exactly as described.,Positive,159,38,Grocery
REV000061,PRD0217,3,Average experience. Delivery was okay.,Neutral,169,38,Beauty
REV000062,PRD0495,4,Very fast delivery and great quality.,Positive,84,37,Electronics
REV000063,PRD0417,4,Very fast delivery and great quality.,Positive,181,37,Fashion
REV000064,PRD0090,5,Top quality. Will buy again.,Positive,35,28,Toys
REV000065,PRD0491,4,Very fast delivery and great quality.,Positive,87,37,Sports
REV000066,PRD0012,5,Very fast delivery and great quality.,Positive,137,37,Toys
REV000067,PRD0273,4,Top quality. Will buy again.,Positive,22,28,Books
REV000068,PRD0428,3,Okay product. Average quality.,Neutral,82,30,Beauty
REV000069,PRD0044,5,Very fast delivery and great quality.,Positive,47,37,Grocery
REV000070,PRD0163,5,Works perfectly. Exactly as described.,Positive,54,38,Toys
REV000071,PRD0412,1,Very disappointed. Not as shown in pictures.,Negative,196,44,Fashion
REV000072,PRD0229,5,Works perfectly. Exactly as described.,Positive,77,38,Books
REV000073,PRD0194,4,Excellent product! Highly recommended.,Positive,159,38,Grocery
REV000074,PRD0011,1,Very disappointed. Not as shown in pictures.,Negative,83,44,Sports
REV000075,PRD0429,1,Product stopped working after 2 days.,Negative,78,37,Electronics
REV000076,PRD0010,2,Defective item received. No proper support.,Negative,61,43,Books
REV000077,PRD0063,5,Very fast delivery and great quality.,Positive,172,37,Sports
REV000078,PRD0025,5,Excellent product! Highly recommended.,Positive,74,38,Home & Kitchen
REV000079,PRD0154,5,Excellent product! Highly recommended.,Positive,168,38,Books
REV000080,PRD0106,4,Very fast delivery and great quality.,Positive,109,37,Toys
REV000081,PRD0169,5,Amazing value for money. Love it!,Positive,34,33,Sports
REV000082,PRD0274,4,Amazing value for money. Love it!,Positive,32,33,Home & Kitchen
REV000083,PRD0296,3,Decent. Could be better for the price.,Neutral,188,38,Home & Kitchen
REV000084,PRD0248,2,Worst product ever. Do not buy.,Negative,194,31,Sports
REV000085,PRD0073,5,Works perfectly. Exactly as described.,Positive,52,38,Fashion
REV000086,PRD0319,4,Excellent product! Highly recommended.,Positive,52,38,Electronics
REV000087,PRD0443,3,Nothing special but works fine.,Neutral,36,31,Toys
REV000088,PRD0458,3,Average experience. Delivery was okay.,Neutral,114,38,Electronics
REV000089,PRD0227,1,Product stopped working after 2 days.,Negative,152,37,Home & Kitchen
REV000090,PRD0486,3,Average experience. Delivery was okay.,Neutral,114,38,Toys
REV000091,PRD0306,5,Works perfectly. Exactly as described.,Positive,197,38,Books
REV000092,PRD0407,3,Nothing special but works fine.,Neutral,66,31,Fashion
REV000093,PRD0003,4,Best purchase I made this year.,Positive,8,31,Sports
REV000094,PRD0350,5,Best purchase I made this year.,Positive,32,31,Toys
REV000095,PRD0180,5,Amazing value for money. Love it!,Positive,57,33,Electronics
REV000096,PRD0216,1,Worst product ever. Do not buy.,Negative,151,31,Sports
REV000097,PRD0050,5,Very fast delivery and great quality.,Positive,29,37,Grocery
REV000098,PRD0042,5,Best purchase I made this year.,Positive,106,31,Toys
REV000099,PRD0128,2,Defective item received. No proper support.,Negative,148,43,Home & Kitchen
REV000100,PRD0075,4,Amazing value for money. Love it!,Positive,58,33,Toys
REV000101,PRD0278,2,Worst product ever. Do not buy.,Negative,77,31,Fashion
REV000102,PRD0096,4,Very fast delivery and great quality.,Positive,56,37,Books
REV000103,PRD0237,4,Works perfectly. Exactly as described.,Positive,164,38,Beauty
REV000104,PRD0258,1,Defective item received. No proper support.,Negative,153,43,Home & Kitchen
REV000105,PRD0352,3,Nothing special but works fine.,Neutral,115,31,Sports
REV000106,PRD0495,3,Okay product. Average quality.,Neutral,112,30,Electronics
REV000107,PRD0305,4,Top quality. Will buy again.,Positive,129,28,Sports
REV000108,PRD0116,5,Amazing value for money. Love it!,Positive,103,33,Beauty
REV000109,PRD0006,4,Very fast delivery and great quality.,Positive,119,37,Electronics
REV000110,PRD0043,5,Excellent product! Highly recommended.,Positive,110,38,Home & Kitchen
REV000111,PRD0078,5,Top quality. Will buy again.,Positive,112,28,Toys
REV000112,PRD0485,4,Top quality. Will buy again.,Positive,167,28,Books
REV000113,PRD0146,2,Defective item received. No proper support.,Negative,97,43,Electronics
REV000114,PRD0209,1,Very disappointed. Not as shown in pictures.,Negative,103,44,Electronics
REV000115,PRD0177,4,Best purchase I made this year.,Positive,46,31,Fashion
REV000116,PRD0158,3,Average experience. Delivery was okay.,Neutral,58,38,Beauty
REV000117,PRD0240,5,Very fast delivery and great quality.,Positive,190,37,Sports
REV000118,PRD0034,4,Very fast delivery and great quality.,Positive,19,37,Beauty
REV000119,PRD0347,3,Nothing special but works fine.,Neutral,5,31,Home & Kitchen
REV000120,PRD0340,5,Top quality. Will buy again.,Positive,58,28,Beauty
REV000121,PRD0174,5,Amazing value for money. Love it!,Positive,79,33,Fashion
REV000122,PRD0220,5,Excellent product! Highly recommended.,Positive,113,38,Sports
REV000123,PRD0464,5,Top quality. Will buy again.,Positive,16,28,Toys
REV000124,PRD0303,5,Amazing value for money. Love it!,Positive,27,33,Home & Kitchen
REV000125,PRD0258,4,Top quality. Will buy again.,Positive,94,28,Home & Kitchen
REV000126,PRD0465,2,Fake product. Totally different from description.,Negative,75,49,Toys
REV000127,PRD0073,4,Very fast delivery and great quality.,Positive,162,37,Fashion
REV000128,PRD0323,1,Pathetic quality. Waste of money.,Negative,64,33,Home & Kitchen
REV000129,PRD0308,5,Top quality. Will buy again.,Positive,175,28,Fashion
REV000130,PRD0004,3,Okay product. Average quality.,Neutral,86,30,Toys
REV000131,PRD0015,5,Amazing value for money. Love it!,Positive,48,33,Fashion
REV000132,PRD0496,4,Works perfectly. Exactly as described.,Positive,90,38,Beauty
REV000133,PRD0205,5,Very fast delivery and great quality.,Positive,77,37,Sports
REV000134,PRD0423,4,Works perfectly. Exactly as described.,Positive,127,38,Books
REV000135,PRD0338,1,Very disappointed. Not as shown in pictures.,Negative,11,44,Beauty
REV000136,PRD0388,3,Average experience. Delivery was okay.,Neutral,135,38,Beauty
REV000137,PRD0154,5,Amazing value for money. Love it!,Positive,117,33,Books
REV000138,PRD0377,5,Works perfectly. Exactly as described.,Positive,191,38,Books
REV000139,PRD0290,4,Very fast delivery and great quality.,Positive,43,37,Electronics
REV000140,PRD0450,1,Worst product ever. Do not buy.,Negative,0,31,Books
REV000141,PRD0026,4,Best purchase I made this year.,Positive,182,31,Electronics
REV000142,PRD0167,5,Best purchase I made this year.,Positive,199,31,Sports
REV000143,PRD0052,5,Amazing value for money. Love it!,Positive,8,33,Beauty
REV000144,PRD0204,5,Top quality. Will buy again.,Positive,148,28,Fashion
REV000145,PRD0032,5,Best purchase I made this year.,Positive,78,31,Toys
REV000146,PRD0258,4,Top quality. Will buy again.,Positive,105,28,Home & Kitchen
REV000147,PRD0371,5,Very fast delivery and great quality.,Positive,129,37,Electronics
REV000148,PRD0213,4,Excellent product! Highly recommended.,Positive,7,38,Books
REV000149,PRD0334,3,Decent. Could be better for the price.,Neutral,135,38,Books
REV000150,PRD0399,4,Top quality. Will buy again.,Positive,90,28,Sports
REV000151,PRD0483,5,Amazing value for money. Love it!,Positive,71,33,Fashion
REV000152,PRD0196,3,Nothing special but works fine.,Neutral,55,31,Toys
REV000153,PRD0449,5,Top quality. Will buy again.,Positive,53,28,Home & Kitchen
REV000154,PRD0123,5,Best purchase I made this year.,Positive,97,31,Home & Kitchen
REV000155,PRD0001,2,Very disappointed. Not as shown in pictures.,Negative,29,44,Grocery
REV000156,PRD0393,4,Amazing value for money. Love it!,Positive,68,33,Grocery
REV000157,PRD0156,4,Amazing value for money. Love it!,Positive,97,33,Electronics
REV000158,PRD0311,1,Product stopped working after 2 days.,Negative,50,37,Toys
REV000159,PRD0375,4,Amazing value for money. Love it!,Positive,45,33,Sports
REV000160,PRD0060,5,Excellent product! Highly recommended.,Positive,149,38,Grocery
REV000161,PRD0347,4,Excellent product! Highly recommended.,Positive,64,38,Home & Kitchen
REV000162,PRD0146,5,Amazing value for money. Love it!,Positive,13,33,Electronics
REV000163,PRD0148,5,Amazing value for money. Love it!,Positive,198,33,Sports
REV000164,PRD0304,3,Nothing special but works fine.,Neutral,4,31,Fashion
REV000165,PRD0170,4,Works perfectly. Exactly as described.,Positive,41,38,Beauty
REV000166,PRD0151,5,Amazing value for money. Love it!,Positive,127,33,Electronics
REV000167,PRD0279,5,Very fast delivery and great quality.,Positive,76,37,Toys
REV000168,PRD0033,5,Works perfectly. Exactly as described.,Positive,34,38,Sports
REV000169,PRD0011,3,Okay product. Average quality.,Neutral,100,30,Sports
REV000170,PRD0085,5,Best purchase I made this year.,Positive,127,31,Toys
REV000171,PRD0320,3,Okay product. Average quality.,Neutral,30,30,Grocery
REV000172,PRD0269,4,Best purchase I made this year.,Positive,175,31,Electronics
REV000173,PRD0409,2,Fake product. Totally different from description.,Negative,94,49,Electronics
REV000174,PRD0351,5,Works perfectly. Exactly as described.,Positive,92,38,Grocery
REV000175,PRD0378,5,Top quality. Will buy again.,Positive,123,28,Toys
REV000176,PRD0418,2,Fake product. Totally different from description.,Negative,92,49,Books
REV000177,PRD0171,3,Nothing special but works fine.,Neutral,145,31,Grocery
REV000178,PRD0125,5,Top quality. Will buy again.,Positive,83,28,Books
REV000179,PRD0199,3,Okay product. Average quality.,Neutral,148,30,Books
REV000180,PRD0196,4,Very fast delivery and great quality.,Positive,200,37,Toys
REV000181,PRD0025,5,Works perfectly. Exactly as described.,Positive,156,38,Home & Kitchen
REV000182,PRD0053,4,Top quality. Will buy again.,Positive,28,28,Grocery
REV000183,PRD0102,5,Amazing value for money. Love it!,Positive,150,33,Beauty
REV000184,PRD0057,5,Amazing value for money. Love it!,Positive,34,33,Beauty
REV000185,PRD0078,1,Pathetic quality. Waste of money.,Negative,13,33,Toys
REV000186,PRD0345,4,Excellent product! Highly recommended.,Positive,48,38,Toys
REV000187,PRD0486,3,Okay product. Average quality.,Neutral,64,30,Toys
REV000188,PRD0199,5,Excellent product! Highly recommended.,Positive,111,38,Books
REV000189,PRD0273,4,Top quality. Will buy again.,Positive,23,28,Books
REV000190,PRD0464,2,Worst product ever. Do not buy.,Negative,103,31,Toys
REV000191,PRD0335,4,Excellent product! Highly recommended.,Positive,53,38,Grocery
REV000192,PRD0326,5,Top quality. Will buy again.,Positive,171,28,Fashion
REV000193,PRD0250,5,Top quality. Will buy again.,Positive,57,28,Beauty
REV000194,PRD0456,3,Average experience. Delivery was okay.,Neutral,110,38,Electronics
REV000195,PRD0016,4,Top quality. Will buy again.,Positive,56,28,Sports
REV000196,PRD0427,4,Works perfectly. Exactly as described.,Positive,52,38,Grocery
REV000197,PRD0035,4,Excellent product! Highly recommended.,Positive,70,38,Grocery
REV000198,PRD0200,4,Top quality. Will buy again.,Positive,175,28,Grocery
REV000199,PRD0243,4,Amazing value for money. Love it!,Positive,95,33,Books
REV000200,PRD0024,2,Pathetic quality. Waste of money.,Negative,73,33,Electronics
REV000201,PRD0247,4,Very fast delivery and great quality.,Positive,197,37,Grocery
REV000202,PRD0398,3,Decent. Could be better for the price.,Neutral,49,38,Electronics
REV000203,PRD0176,5,Works perfectly. Exactly as described.,Positive,134,38,Grocery
REV000204,PRD0075,3,Nothing special but works fine.,Neutral,36,31,Toys
REV000205,PRD0072,5,Very fast delivery and great quality.,Positive,102,37,Sports
REV000206,PRD0143,5,Works perfectly. Exactly as described.,Positive,58,38,Books
REV000207,PRD0200,5,Amazing value for money. Love it!,Positive,93,33,Grocery
REV000208,PRD0134,3,Nothing special but works fine.,Neutral,127,31,Beauty
REV000209,PRD0233,3,Okay product. Average quality.,Neutral,65,30,Fashion
REV000210,PRD0079,5,Excellent product! Highly recommended.,Positive,135,38,Electronics
REV000211,PRD0346,4,Excellent product! Highly recommended.,Positive,59,38,Grocery
REV000212,PRD0472,1,Fake product. Totally different from description.,Negative,66,49,Fashion
REV000213,PRD0404,4,Excellent product! Highly recommended.,Positive,39,38,Books
REV000214,PRD0474,5,Best purchase I made this year.,Positive,3,31,Beauty
REV000215,PRD0470,4,Very fast delivery and great quality.,Positive,134,37,Electronics
REV000216,PRD0234,5,Very fast delivery and great quality.,Positive,152,37,Sports
REV000217,PRD0188,4,Amazing value for money. Love it!,Positive,113,33,Grocery
REV000218,PRD0010,5,Top quality. Will buy again.,Positive,183,28,Books
REV000219,PRD0307,5,Amazing value for money. Love it!,Positive,169,33,Books
REV000220,PRD0129,5,Very fast delivery and great quality.,Positive,135,37,Fashion
REV000221,PRD0155,4,Excellent product! Highly recommended.,Positive,74,38,Electronics
REV000222,PRD0491,4,Amazing value for money. Love it!,Positive,175,33,Sports
REV000223,PRD0497,3,Average experience. Delivery was okay.,Neutral,20,38,Beauty
REV000224,PRD0188,3,Decent. Could be better for the price.,Neutral,137,38,Grocery
REV000225,PRD0251,1,Pathetic quality. Waste of money.,Negative,50,33,Electronics
REV000226,PRD0069,5,Best purchase I made this year.,Positive,25,31,Fashion
REV000227,PRD0053,5,Works perfectly. Exactly as described.,Positive,50,38,Grocery
REV000228,PRD0446,5,Excellent product! Highly recommended.,Positive,92,38,Sports
REV000229,PRD0443,4,Excellent product! Highly recommended.,Positive,190,38,Toys
REV000230,PRD0334,5,Excellent product! Highly recommended.,Positive,4,38,Books
REV000231,PRD0227,5,Excellent product! Highly recommended.,Positive,135,38,Home & Kitchen
REV000232,PRD0316,4,Works perfectly. Exactly as described.,Positive,92,38,Sports
REV000233,PRD0107,4,Amazing value for money. Love it!,Positive,39,33,Electronics
REV000234,PRD0311,4,Works perfectly. Exactly as described.,Positive,15,38,Toys
REV000235,PRD0414,5,Works perfectly. Exactly as described.,Positive,69,38,Toys
REV000236,PRD0313,1,Defective item received. No proper support.,Negative,178,43,Fashion
REV000237,PRD0399,2,Worst product ever. Do not buy.,Negative,27,31,Sports
REV000238,PRD0186,2,Pathetic quality. Waste of money.,Negative,75,33,Fashion
REV000239,PRD0174,5,Very fast delivery and great quality.,Positive,79,37,Fashion
REV000240,PRD0017,4,Excellent product! Highly recommended.,Positive,64,38,Electronics
REV000241,PRD0431,4,Amazing value for money. Love it!,Positive,70,33,Grocery
REV000242,PRD0477,4,Best purchase I made this year.,Positive,198,31,Beauty
REV000243,PRD0406,5,Works perfectly. Exactly as described.,Positive,152,38,Books
REV000244,PRD0287,3,Average experience. Delivery was okay.,Neutral,98,38,Sports
REV000245,PRD0496,2,Pathetic quality. Waste of money.,Negative,64,33,Beauty
REV000246,PRD0258,2,Very disappointed. Not as shown in pictures.,Negative,16,44,Home & Kitchen
REV000247,PRD0440,1,Very disappointed. Not as shown in pictures.,Negative,63,44,Books
REV000248,PRD0203,5,Amazing value for money. Love it!,Positive,103,33,Beauty
REV000249,PRD0339,3,Decent. Could be better for the price.,Neutral,142,38,Electronics
REV000250,PRD0121,2,Defective item received. No proper support.,Negative,110,43,Electronics
REV000251,PRD0046,5,Excellent product! Highly recommended.,Positive,69,38,Books
REV000252,PRD0317,3,Decent. Could be better for the price.,Neutral,44,38,Toys
REV000253,PRD0368,1,Worst product ever. Do not buy.,Negative,132,31,Beauty
REV000254,PRD0412,5,Works perfectly. Exactly as described.,Positive,75,38,Fashion
REV000255,PRD0161,3,Okay product. Average quality.,Neutral,40,30,Beauty
REV000256,PRD0210,4,Very fast delivery and great quality.,Positive,11,37,Sports
REV000257,PRD0497,4,Very fast delivery and great quality.,Positive,155,37,Beauty
REV000258,PRD0420,5,Amazing value for money. Love it!,Positive,110,33,Grocery
REV000259,PRD0429,5,Amazing value for money. Love it!,Positive,166,33,Electronics
REV000260,PRD0331,4,Best purchase I made this year.,Positive,46,31,Beauty
REV000261,PRD0164,4,Very fast delivery and great quality.,Positive,68,37,Fashion
REV000262,PRD0373,5,Top quality. Will buy again.,Positive,133,28,Grocery
REV000263,PRD0362,4,Excellent product! Highly recommended.,Positive,45,38,Toys
REV000264,PRD0368,4,Amazing value for money. Love it!,Positive,176,33,Beauty
REV000265,PRD0110,5,Works perfectly. Exactly as described.,Positive,177,38,Fashion
REV000266,PRD0239,1,Product stopped working after 2 days.,Negative,18,37,Beauty
REV000267,PRD0483,2,Very disappointed. Not as shown in pictures.,Negative,86,44,Fashion
REV000268,PRD0198,5,Amazing value for money. Love it!,Positive,167,33,Home & Kitchen
REV000269,PRD0296,4,Very fast delivery and great quality.,Positive,37,37,Home & Kitchen
REV000270,PRD0150,4,Very fast delivery and great quality.,Positive,171,37,Grocery
REV000271,PRD0025,4,Excellent product! Highly recommended.,Positive,110,38,Home & Kitchen
REV000272,PRD0145,5,Very fast delivery and great quality.,Positive,158,37,Fashion
REV000273,PRD0381,5,Works perfectly. Exactly as described.,Positive,59,38,Sports
REV000274,PRD0329,5,Very fast delivery and great quality.,Positive,64,37,Electronics
REV000275,PRD0095,4,Top quality. Will buy again.,Positive,110,28,Fashion
REV000276,PRD0113,5,Very fast delivery and great quality.,Positive,43,37,Beauty
REV000277,PRD0188,4,Very fast delivery and great quality.,Positive,163,37,Grocery
REV000278,PRD0414,1,Pathetic quality. Waste of money.,Negative,65,33,Toys
REV000279,PRD0135,4,Excellent product! Highly recommended.,Positive,115,38,Electronics
REV000280,PRD0054,2,Defective item received. No proper support.,Negative,113,43,Toys
REV000281,PRD0352,5,Works perfectly. Exactly as described.,Positive,109,38,Sports
REV000282,PRD0138,4,Amazing value for money. Love it!,Positive,15,33,Home & Kitchen
REV000283,PRD0085,5,Top quality. Will buy again.,Positive,153,28,Toys
REV000284,PRD0335,2,Defective item received. No proper support.,Negative,60,43,Grocery
REV000285,PRD0105,5,Works perfectly. Exactly as described.,Positive,14,38,Grocery
REV000286,PRD0247,1,Product stopped working after 2 days.,Negative,112,37,Grocery
REV000287,PRD0266,2,Product stopped working after 2 days.,Negative,194,37,Beauty
REV000288,PRD0141,4,Best purchase I made this year.,Positive,101,31,Books
REV000289,PRD0276,3,Average experience. Delivery was okay.,Neutral,10,38,Toys
REV000290,PRD0001,4,Best purchase I made this year.,Positive,37,31,Grocery
REV000291,PRD0241,5,Best purchase I made this year.,Positive,81,31,Books
REV000292,PRD0237,2,Very disappointed. Not as shown in pictures.,Negative,159,44,Beauty
REV000293,PRD0235,4,Best purchase I made this year.,Positive,18,31,Electronics
REV000294,PRD0358,5,Very fast delivery and great quality.,Positive,153,37,Electronics
REV000295,PRD0266,5,Amazing value for money. Love it!,Positive,179,33,Beauty
REV000296,PRD0037,1,Pathetic quality. Waste of money.,Negative,6,33,Sports
REV000297,PRD0118,4,Top quality. Will buy again.,Positive,95,28,Fashion
REV000298,PRD0128,4,Top quality. Will buy again.,Positive,142,28,Home & Kitchen
REV000299,PRD0071,5,Amazing value for money. Love it!,Positive,154,33,Books
REV000300,PRD0080,3,Nothing special but works fine.,Neutral,18,31,Electronics
REV000301,PRD0009,3,Average experience. Delivery was okay.,Neutral,104,38,Toys
REV000302,PRD0267,3,Okay product. Average quality.,Neutral,39,30,Home & Kitchen
REV000303,PRD0467,5,Amazing value for money. Love it!,Positive,188,33,Electronics
REV000304,PRD0275,5,Very fast delivery and great quality.,Positive,14,37,Beauty
REV000305,PRD0488,5,Excellent product! Highly recommended.,Positive,41,38,Toys
REV000306,PRD0012,4,Excellent product! Highly recommended.,Positive,144,38,Toys
REV000307,PRD0372,2,Fake product. Totally different from description.,Negative,41,49,Fashion
REV000308,PRD0177,5,Works perfectly. Exactly as described.,Positive,110,38,Fashion
REV000309,PRD0382,5,Very fast delivery and great quality.,Positive,145,37,Home & Kitchen
REV000310,PRD0096,2,Defective item received. No proper support.,Negative,81,43,Books
REV000311,PRD0196,1,Very disappointed. Not as shown in pictures.,Negative,85,44,Toys
REV000312,PRD0394,5,Top quality. Will buy again.,Positive,155,28,Books
REV000313,PRD0316,4,Top quality. Will buy again.,Positive,157,28,Sports
REV000314,PRD0388,2,Fake product. Totally different from description.,Negative,77,49,Beauty
REV000315,PRD0397,2,Product stopped working after 2 days.,Negative,14,37,Books
REV000316,PRD0133,4,Excellent product! Highly recommended.,Positive,0,38,Electronics
REV000317,PRD0030,5,Works perfectly. Exactly as described.,Positive,185,38,Beauty
REV000318,PRD0262,5,Excellent product! Highly recommended.,Positive,20,38,Toys
REV000319,PRD0110,3,Average experience. Delivery was okay.,Neutral,6,38,Fashion
REV000320,PRD0079,2,Worst product ever. Do not buy.,Negative,151,31,Electronics
REV000321,PRD0105,4,Works perfectly. Exactly as described.,Positive,99,38,Grocery
REV000322,PRD0459,5,Top quality. Will buy again.,Positive,54,28,Books
REV000323,PRD0354,5,Top quality. Will buy again.,Positive,71,28,Toys
REV000324,PRD0218,5,Amazing value for money. Love it!,Positive,8,33,Electronics
REV000325,PRD0154,4,Best purchase I made this year.,Positive,153,31,Books
REV000326,PRD0338,4,Amazing value for money. Love it!,Positive,137,33,Beauty
REV000327,PRD0220,5,Amazing value for money. Love it!,Positive,154,33,Sports
REV000328,PRD0108,5,Excellent product! Highly recommended.,Positive,60,38,Books
REV000329,PRD0360,1,Worst product ever. Do not buy.,Negative,29,31,Books
REV000330,PRD0488,5,Amazing value for money. Love it!,Positive,160,33,Toys
REV000331,PRD0449,5,Very fast delivery and great quality.,Positive,9,37,Home & Kitchen
REV000332,PRD0272,4,Amazing value for money. Love it!,Positive,163,33,Toys
REV000333,PRD0358,5,Amazing value for money. Love it!,Positive,111,33,Electronics
REV000334,PRD0375,4,Excellent product! Highly recommended.,Positive,48,38,Sports
REV000335,PRD0172,4,Excellent product! Highly recommended.,Positive,151,38,Books
REV000336,PRD0377,5,Excellent product! Highly recommended.,Positive,14,38,Books
REV000337,PRD0325,3,Okay product. Average quality.,Neutral,92,30,Beauty
REV000338,PRD0043,4,Very fast delivery and great quality.,Positive,102,37,Home & Kitchen
REV000339,PRD0135,4,Top quality. Will buy again.,Positive,126,28,Electronics
REV000340,PRD0355,5,Very fast delivery and great quality.,Positive,19,37,Home & Kitchen
REV000341,PRD0157,4,Top quality. Will buy again.,Positive,160,28,Toys
REV000342,PRD0054,5,Very fast delivery and great quality.,Positive,61,37,Toys
REV000343,PRD0352,4,Very fast delivery and great quality.,Positive,1,37,Sports
REV000344,PRD0028,5,Top quality. Will buy again.,Positive,102,28,Home & Kitchen
REV000345,PRD0414,5,Top quality. Will buy again.,Positive,22,28,Toys
REV000346,PRD0409,3,Okay product. Average quality.,Neutral,105,30,Electronics
REV000347,PRD0439,3,Average experience. Delivery was okay.,Neutral,83,38,Toys
REV000348,PRD0099,1,Defective item received. No proper support.,Negative,149,43,Home & Kitchen
REV000349,PRD0318,4,Excellent product! Highly recommended.,Positive,191,38,Electronics
REV000350,PRD0273,2,Worst product ever. Do not buy.,Negative,122,31,Books
REV000351,PRD0496,5,Works perfectly. Exactly as described.,Positive,197,38,Beauty
REV000352,PRD0406,5,Excellent product! Highly recommended.,Positive,44,38,Books
REV000353,PRD0115,4,Top quality. Will buy again.,Positive,59,28,Toys
REV000354,PRD0157,5,Top quality. Will buy again.,Positive,133,28,Toys
REV000355,PRD0252,5,Works perfectly. Exactly as described.,Positive,165,38,Home & Kitchen
